hour,pv,buy,fav,cart,buy_rate,cart_rate,sum
00,3056936.0,57776.0,105681.0,181807.0,1.89,5.95,3402200.0
01,1421673.0,23169.0,51374.0,85412.0,1.63,6.01,1581628.0
02,769269.0,12012.0,27791.0,46155.0,1.56,6.0,855227.0
03,524992.0,8026.0,18384.0,32552.0,1.53,6.2,583954.0
04,449628.0,6748.0,14793.0,28537.0,1.5,6.35,499706.0
05,581694.0,8135.0,18992.0,37264.0,1.4,6.41,646085.0
06,1226653.0,18014.0,40524.0,81305.0,1.47,6.63,1366496.0
07,2228959.0,37679.0,74666.0,147046.0,1.69,6.6,2488350.0
08,3042342.0,64917.0,103721.0,192036.0,2.13,6.31,3403016.0
09,3728498.0,96134.0,127976.0,229890.0,2.58,6.17,4182498.0
10,4334810.0,127933.0,147752.0,266963.0,2.95,6.16,4877458.0
11,4213518.0,122048.0,145412.0,260831.0,2.9,6.19,4741809.0
12,4255794.0,118591.0,140862.0,255811.0,2.79,6.01,4771058.0
13,4653934.0,123427.0,150844.0,279829.0,2.65,6.01,5208034.0
14,4642056.0,122172.0,148561.0,277093.0,2.63,5.97,5189882.0
15,4806706.0,122733.0,151321.0,284269.0,2.55,5.91,5365029.0
16,4607745.0,116446.0,148722.0,279035.0,2.53,6.06,5151948.0
17,4203397.0,101301.0,137631.0,255342.0,2.41,6.07,4697671.0
18,4313516.0,95907.0,133262.0,253193.0,2.22,5.87,4795878.0
19,5430878.0,115032.0,161057.0,314774.0,2.12,5.8,6021741.0
20,6586331.0,133863.0,191406.0,393209.0,2.03,5.97,7304809.0
21,7538383.0,145433.0,219974.0,465924.0,1.93,6.18,8369714.0
22,7443073.0,138268.0,232222.0,486249.0,1.86,6.53,8299812.0
23,5599903.0,100075.0,195330.0,395920.0,1.79,7.07,6291228.0
